2016-03-29 19:36:25,021 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: es.ubu.lsi:chat1-0:0.0.1-SNAPSHOT @ D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\pom.xml.
2016-03-29 19:36:25,021 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: es.ubu.lsi:chat1-0:0.0.1-SNAPSHOT @ D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\pom.xml.
2016-03-29 19:36:26,626 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 19:36:26,633 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\main\resources
2016-03-29 19:36:26,637 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 19:36:26,646 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
2016-03-29 19:36:28,369 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: es.ubu.lsi:chat1-0:0.0.1-SNAPSHOT @ D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\pom.xml.
2016-03-29 19:36:28,796 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 19:36:28,804 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\main\resources
2016-03-29 19:36:28,807 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-29 19:36:28,815 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Dropbox\UBU\2o Semestre\Sistemas Distribuidos\Práctica\eclipse\Chat 1.0\src\test\resources
